epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,369.325,0.97515,0.803,1.25276,0.94132,0.94016,0.96815,0.72464,1.04832,0.62678,1.32899,0.000170723,0.000170723,0.000170723
43,377.682,0.96263,0.79295,1.25058,0.92798,0.94365,0.96786,0.71218,1.05328,0.6347,1.3344,0.000168789,0.000168789,0.000168789
44,385.977,0.9647,0.78567,1.25198,0.92929,0.93662,0.96619,0.71071,1.08185,0.61491,1.35246,0.000166855,0.000166855,0.000166855
45,394.104,0.95655,0.76999,1.23446,0.93651,0.9413,0.96837,0.72466,1.03577,0.60733,1.31969,0.000164922,0.000164922,0.000164922
46,402.259,0.9723,0.77586,1.24859,0.94095,0.94051,0.96423,0.72317,1.02561,0.6061,1.31509,0.000162988,0.000162988,0.000162988
47,410.7,0.95246,0.76911,1.2367,0.93619,0.94605,0.96292,0.71635,1.04238,0.60449,1.33285,0.000161055,0.000161055,0.000161055
48,419.426,0.9316,0.74993,1.22426,0.94455,0.94428,0.96882,0.72742,1.05184,0.59215,1.32173,0.000159121,0.000159121,0.000159121
49,428.154,0.94534,0.7558,1.24095,0.93816,0.95123,0.97012,0.71873,1.03749,0.58156,1.32012,0.000157188,0.000157188,0.000157188
50,436.885,0.93723,0.74419,1.22042,0.92287,0.95109,0.96851,0.73487,0.99672,0.58975,1.2921,0.000155254,0.000155254,0.000155254
51,445.669,0.94174,0.7493,1.23351,0.92585,0.95461,0.96475,0.72814,1.0071,0.59114,1.29472,0.00015332,0.00015332,0.00015332
52,454.403,0.92876,0.73513,1.22293,0.94309,0.94279,0.97035,0.74276,0.98483,0.57672,1.28548,0.000151387,0.000151387,0.000151387
53,463.178,0.91329,0.72545,1.21098,0.95094,0.94164,0.97155,0.72688,1.03764,0.58026,1.32742,0.000149453,0.000149453,0.000149453
54,471.926,0.92928,0.72757,1.2189,0.9415,0.95234,0.97473,0.73367,1.04847,0.56407,1.32813,0.00014752,0.00014752,0.00014752
55,480.628,0.92359,0.72418,1.21604,0.92286,0.96537,0.96884,0.71596,1.04664,0.55948,1.31758,0.000145586,0.000145586,0.000145586
56,489.472,0.90915,0.70754,1.20735,0.94036,0.95258,0.97042,0.73154,1.00633,0.5505,1.29563,0.000143652,0.000143652,0.000143652
57,498.575,0.90174,0.70651,1.19888,0.95721,0.94893,0.97237,0.72382,0.99887,0.54914,1.28465,0.000141719,0.000141719,0.000141719
58,507.683,0.90086,0.70649,1.21464,0.94349,0.95783,0.97259,0.74148,0.97698,0.53554,1.27886,0.000139785,0.000139785,0.000139785
59,516.721,0.89556,0.70275,1.20329,0.94004,0.95483,0.96863,0.7356,1.00157,0.54158,1.29283,0.000137852,0.000137852,0.000137852
60,525.681,0.89,0.70016,1.20149,0.92979,0.96875,0.97459,0.72802,1.02582,0.53097,1.31119,0.000135918,0.000135918,0.000135918
61,534.677,0.89324,0.69574,1.19901,0.94802,0.95587,0.97241,0.74322,0.95962,0.52938,1.25648,0.000133984,0.000133984,0.000133984
62,543.68,0.89088,0.68719,1.19092,0.95273,0.95993,0.97682,0.74864,0.97192,0.52978,1.26341,0.000132051,0.000132051,0.000132051
63,552.75,0.88411,0.67546,1.19229,0.95266,0.95428,0.97345,0.74886,0.97101,0.54096,1.26454,0.000130117,0.000130117,0.000130117
64,561.175,0.88571,0.67238,1.19289,0.94667,0.9539,0.972,0.72813,1.04754,0.55119,1.33224,0.000128184,0.000128184,0.000128184
65,569.515,0.87043,0.67316,1.18986,0.93121,0.96352,0.97144,0.73481,1.00942,0.53351,1.29107,0.00012625,0.00012625,0.00012625
66,577.742,0.8762,0.67714,1.19171,0.93931,0.95489,0.97489,0.76536,0.92109,0.51161,1.22972,0.000124316,0.000124316,0.000124316
67,585.992,0.86343,0.66127,1.17748,0.94553,0.95576,0.97457,0.73922,0.9863,0.52411,1.27344,0.000122383,0.000122383,0.000122383
68,594.246,0.87409,0.66847,1.18789,0.95773,0.95202,0.97557,0.75021,0.93709,0.51023,1.23772,0.000120449,0.000120449,0.000120449
