epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,2505.47,0.69416,0.44396,1.11351,0.96361,0.98059,0.98522,0.81687,0.73349,0.3261,1.12982,0.00999996,0.00999996,0.00999996
38,2570.81,0.68693,0.43988,1.10915,0.95305,0.97537,0.98669,0.81548,0.73296,0.3319,1.13897,0.00999996,0.00999996,0.00999996
39,2635.65,0.68501,0.43719,1.11526,0.95968,0.97897,0.98911,0.81865,0.72565,0.32541,1.13115,0.00999996,0.00999996,0.00999996
40,2700.91,0.67682,0.43007,1.10145,0.96478,0.97899,0.98728,0.81524,0.7253,0.32189,1.12962,0.00999996,0.00999996,0.00999996
41,2770.69,0.67236,0.43304,1.10605,0.96311,0.9769,0.98849,0.81864,0.7217,0.32058,1.13082,0.00999996,0.00999996,0.00999996
42,2842.8,0.66912,0.42704,1.10402,0.95961,0.97703,0.9879,0.82257,0.71082,0.3204,1.11896,0.00999996,0.00999996,0.00999996
43,2914,0.66329,0.41932,1.09073,0.96839,0.97654,0.98398,0.81929,0.70406,0.3144,1.09646,0.00999996,0.00999996,0.00999996
44,2984.47,0.65862,0.42055,1.09028,0.97001,0.9735,0.98882,0.82724,0.6849,0.30959,1.08675,0.00999996,0.00999996,0.00999996
45,3052.11,0.65365,0.41989,1.09164,0.97322,0.9776,0.98648,0.82952,0.69371,0.30533,1.10431,0.00999996,0.00999996,0.00999996
46,3120.23,0.64799,0.41678,1.08635,0.96862,0.97864,0.98784,0.83033,0.70008,0.312,1.10956,0.00999996,0.00999996,0.00999996
47,3188.74,0.6438,0.41301,1.08821,0.97053,0.97746,0.98794,0.82729,0.69156,0.3077,1.11866,0.00999995,0.00999995,0.00999995
48,3255.18,0.63874,0.40754,1.0836,0.97218,0.9787,0.9866,0.82814,0.6946,0.30679,1.10951,0.00999995,0.00999995,0.00999995
49,3324.22,0.63754,0.40861,1.08555,0.97568,0.97693,0.98903,0.83225,0.69221,0.3052,1.1213,0.00999995,0.00999995,0.00999995
50,3390.27,0.62944,0.39968,1.0791,0.97125,0.97522,0.98845,0.82968,0.70063,0.3038,1.12913,0.00999995,0.00999995,0.00999995
51,3455.9,0.62863,0.40653,1.07724,0.96313,0.97879,0.98673,0.82711,0.69392,0.30392,1.10594,0.00999995,0.00999995,0.00999995
52,3521.94,0.62057,0.39485,1.06611,0.97542,0.97807,0.98941,0.83142,0.68215,0.29623,1.09199,0.00999995,0.00999995,0.00999995
53,3587.69,0.62056,0.39394,1.07212,0.97231,0.97815,0.98762,0.83366,0.68609,0.3034,1.11307,0.00999995,0.00999995,0.00999995
54,3655.2,0.61872,0.39393,1.06548,0.97503,0.97549,0.98835,0.83698,0.68032,0.29904,1.09762,0.00999995,0.00999995,0.00999995
55,3721.56,0.61617,0.39332,1.06766,0.96911,0.97754,0.98798,0.83471,0.67807,0.3005,1.11123,0.00999995,0.00999995,0.00999995
56,3787.87,0.61332,0.38767,1.06249,0.97161,0.98252,0.98921,0.84254,0.66963,0.286,1.09069,0.00999995,0.00999995,0.00999995
57,3855.05,0.60879,0.38844,1.05761,0.97425,0.97878,0.98583,0.83465,0.66894,0.29156,1.07843,0.00999994,0.00999994,0.00999994
58,3921.24,0.60586,0.38402,1.05546,0.97702,0.97556,0.98684,0.84099,0.66653,0.28627,1.07744,0.00999994,0.00999994,0.00999994
59,3987.09,0.60412,0.38499,1.05863,0.97789,0.97825,0.98871,0.83766,0.66411,0.27524,1.07682,0.00999994,0.00999994,0.00999994
60,4053.15,0.60433,0.38546,1.06181,0.97667,0.97799,0.98778,0.83937,0.66542,0.29557,1.08365,0.00999994,0.00999994,0.00999994
61,4119.12,0.59785,0.38263,1.05789,0.97419,0.977,0.9867,0.84245,0.65552,0.28844,1.08662,0.00999994,0.00999994,0.00999994
62,4185.63,0.5964,0.37461,1.05062,0.9746,0.97006,0.98517,0.83251,0.66795,0.28863,1.08937,0.00999994,0.00999994,0.00999994
63,4251.44,0.59553,0.37946,1.05653,0.96572,0.97779,0.98576,0.8325,0.65799,0.28866,1.08975,0.00999994,0.00999994,0.00999994
64,4318.51,0.59066,0.37578,1.0574,0.96628,0.98307,0.98754,0.84281,0.65777,0.28389,1.09829,0.00999994,0.00999994,0.00999994
65,4385.91,0.58569,0.36969,1.04903,0.97074,0.98032,0.98748,0.84184,0.65536,0.28723,1.08571,0.00999994,0.00999994,0.00999994
66,4452.31,0.57813,0.36962,1.04314,0.97509,0.9758,0.98764,0.83866,0.6503,0.28124,1.08775,0.00999994,0.00999994,0.00999994
67,4520.32,0.58068,0.36685,1.04753,0.97423,0.9797,0.98807,0.84164,0.65652,0.28656,1.09815,0.00999993,0.00999993,0.00999993
68,4585.91,0.58352,0.37125,1.04955,0.97049,0.9803,0.98809,0.84446,0.6512,0.28009,1.08532,0.00999993,0.00999993,0.00999993
69,4652.52,0.58246,0.37252,1.04683,0.97545,0.97888,0.98886,0.83936,0.64829,0.28271,1.08828,0.00999993,0.00999993,0.00999993
70,4718.79,0.57637,0.36655,1.04011,0.97415,0.97961,0.98747,0.84546,0.64142,0.28561,1.06501,0.00999993,0.00999993,0.00999993
71,4784.37,0.57602,0.36488,1.03596,0.97819,0.98021,0.98749,0.84081,0.65371,0.28454,1.07911,0.00999993,0.00999993,0.00999993
72,4850.57,0.57085,0.3655,1.03924,0.97549,0.98099,0.98908,0.845,0.6462,0.28162,1.07972,0.00999993,0.00999993,0.00999993
73,4916.07,0.56737,0.36081,1.03365,0.97474,0.9773,0.98767,0.84486,0.64152,0.28345,1.07169,0.00999993,0.00999993,0.00999993
74,4984.13,0.57026,0.35961,1.03568,0.97336,0.9815,0.98869,0.8488,0.64621,0.27597,1.07329,0.00999993,0.00999993,0.00999993
75,5051.8,0.56436,0.35976,1.03519,0.97346,0.98238,0.98713,0.83997,0.64927,0.27383,1.08308,0.00999993,0.00999993,0.00999993
76,5118.17,0.56238,0.35809,1.04,0.97355,0.98272,0.98943,0.84793,0.64261,0.27577,1.08541,0.00999993,0.00999993,0.00999993
77,5184.3,0.56085,0.35531,1.03153,0.97063,0.98347,0.98828,0.84936,0.63262,0.27233,1.07466,0.00999992,0.00999992,0.00999992
78,5250.27,0.55901,0.35397,1.03571,0.97128,0.97976,0.98655,0.8498,0.62822,0.27027,1.0709,0.00999992,0.00999992,0.00999992
79,5315.94,0.56072,0.35655,1.0269,0.97273,0.97769,0.98684,0.84732,0.63706,0.27072,1.06286,0.00999992,0.00999992,0.00999992
80,5382.65,0.55122,0.35084,1.02619,0.9711,0.98129,0.98707,0.85288,0.63739,0.26977,1.07172,0.00999992,0.00999992,0.00999992
81,5448.52,0.55429,0.35291,1.02566,0.97251,0.9802,0.9863,0.85411,0.63621,0.27032,1.06472,0.00999992,0.00999992,0.00999992
82,5513.88,0.55063,0.34832,1.02449,0.97629,0.97986,0.98741,0.85633,0.63931,0.26631,1.06921,0.00999992,0.00999992,0.00999992
83,5579.67,0.54898,0.34937,1.02348,0.97706,0.9804,0.9866,0.854,0.63336,0.26275,1.07006,0.00999992,0.00999992,0.00999992
84,5645.4,0.55978,0.35452,1.0308,0.97724,0.97913,0.98688,0.85323,0.6297,0.26533,1.06805,0.00999992,0.00999992,0.00999992
85,5712.23,0.5519,0.3509,1.02807,0.97807,0.97843,0.98748,0.85471,0.62545,0.26532,1.06725,0.00999992,0.00999992,0.00999992
86,5777.8,0.54774,0.34709,1.01752,0.97761,0.97959,0.98755,0.85486,0.62746,0.26544,1.0629,0.00999992,0.00999992,0.00999992
87,5844.11,0.5444,0.34342,1.02414,0.97827,0.97754,0.98722,0.85612,0.62297,0.26481,1.06174,0.00999991,0.00999991,0.00999991
